index,carat,cut,color,clarity,depth,table,price,x,y,z
25992,1.66,Ideal,H,VS1,61.5,56.0,15210,7.6,7.66,4.69
8767,0.71,Ideal,E,VVS2,62.0,56.0,4467,5.71,5.74,3.55
30712,0.33,Ideal,E,VS2,61.1,55.0,738,4.47,4.51,2.74
24067,2.01,Premium,J,SI1,60.7,61.0,12209,8.15,8.1,4.93
35067,0.42,Ideal,H,SI1,61.7,55.0,885,4.84,4.85,2.99
38886,0.4,Ideal,D,VS2,61.6,57.0,1050,4.77,4.71,2.92
7323,1.01,Good,H,VS2,63.9,58.0,4208,6.26,6.22,3.99
34872,0.3,Very Good,G,VVS2,63.2,57.0,878,4.28,4.23,2.69
47029,0.54,Ideal,F,VS1,62.5,56.0,1819,5.18,5.22,3.25
40860,0.34,Ideal,F,VVS1,61.1,56.0,1174,4.5,4.53,2.76
21934,1.21,Very Good,F,VS1,62.3,58.0,10009,6.76,6.85,4.24
12440,1.2,Ideal,H,VS1,61.9,57.0,5242,6.77,6.73,4.18
27257,2.28,Premium,I,SI1,61.6,58.0,17673,8.43,8.46,5.2
44445,0.61,Ideal,H,VS2,62.0,53.0,1591,5.47,5.49,3.4
21405,1.18,Premium,G,VS2,61.5,58.0,9516,6.87,6.79,4.2
4392,0.31,Very Good,I,VVS1,62.8,55.0,571,4.33,4.36,2.73
980,0.76,Ideal,F,SI1,61.4,56.0,2894,5.88,5.92,3.62
10602,1.01,Ideal,I,SI1,61.2,56.0,4825,6.48,6.51,3.97
50506,0.78,Very Good,I,SI2,60.6,58.0,2271,5.92,5.97,3.6
13832,1.25,Premium,J,VS1,62.2,58.0,5637,6.88,6.92,4.29
33962,0.4,Very Good,D,VS2,63.3,58.0,845,4.63,4.66,2.94
9606,1.02,Very Good,G,SI1,63.0,55.0,4633,6.4,6.45,4.05
24665,2.1,Very Good,G,SI2,63.4,58.0,13007,8.19,8.12,5.17
39652,0.4,Ideal,G,VS1,61.4,55.0,1087,4.77,4.78,2.93
52192,0.7,Fair,G,VS2,64.9,57.0,2479,5.55,5.54,3.6
24668,1.51,Good,F,VS2,61.0,63.0,13010,7.32,7.39,4.49
4708,1.0,Good,J,SI1,63.9,60.0,3679,6.26,6.19,3.98
12920,1.2,Premium,H,SI2,62.3,58.0,5376,6.81,6.76,4.23
4916,0.9,Good,E,SI2,62.1,63.0,3724,6.09,6.12,3.79
26921,2.03,Ideal,I,VS2,62.7,57.0,16945,8.05,8.02,5.04
26231,2.1,Ideal,I,SI2,61.9,56.0,15653,8.22,8.2,5.08
35443,0.32,Ideal,E,VS2,62.6,53.0,900,4.38,4.37,2.74
34603,0.27,Very Good,E,VS1,62.9,56.0,470,4.12,4.15,2.6
20453,1.1,Ideal,F,VS1,61.5,59.0,8796,6.63,6.58,4.06
48108,0.5,Ideal,G,VVS2,60.5,55.0,1935,5.15,5.13,3.11
42753,0.58,Ideal,G,SI2,62.2,55.0,1343,5.4,5.36,3.35
33594,0.37,Premium,G,VS2,60.7,57.0,833,4.69,4.64,2.83
37502,0.3,Premium,E,IF,61.9,61.0,984,4.32,4.27,2.66
42327,0.41,Ideal,F,VVS1,60.9,56.0,1295,4.79,4.83,2.93
34097,0.36,Premium,D,VS2,61.8,58.0,852,4.55,4.58,2.82
